product_id,seller,category,price,final_quality,rating_count
product_61,seller_2,headphones,9488,0.541,1
product_62,seller_8,stand,1857,0.532,1
product_63,seller_24,headphones,2942,0.471,2
product_64,seller_12,stand,1019,0.521,5
product_65,seller_24,laptop_bag,2975,0.368,1
product_66,seller_28,keyboard,3620,0.557,3
product_67,seller_26,mobile_cover,293,0.544,4
product_68,seller_13,laptop_bag,1348,0.631,3
product_69,seller_12,headphones,1813,0.599,1
product_70,seller_16,watch_strap,646,0.342,2
product_71,seller_8,tablet,55044,0.81,1
product_72,seller_0,screen_guard,199,0.657,1
product_73,seller_22,stand,1627,0.82,2
product_74,seller_21,mobile_cover,1265,0.631,2
product_75,seller_16,mobile_cover,1465,0.511,0
product_76,seller_24,earphones,2954,0.8,4
product_77,seller_1,charger,2745,0.939,5
product_78,seller_26,mobile_cover,1375,0.782,1
product_79,seller_23,keyboard,1629,0.743,1
product_80,seller_14,laptop,43282,0.67,2
product_81,seller_21,headphones,6623,0.464,3
product_82,seller_27,mobile,24069,0.617,0
product_83,seller_8,watch_strap,1801,0.499,2
product_84,seller_8,stand,2579,0.681,3
product_85,seller_3,charger,1042,0.695,3
product_86,seller_18,headphones,8678,0.413,0
product_87,seller_28,tablet,28562,0.73,0
product_88,seller_22,mobile,49394,0.629,1
product_89,seller_27,tablet,42170,0.462,0
product_90,seller_7,keyboard,4747,0.671,5
product_91,seller_28,smartwatch,25083,0.472,2
product_92,seller_15,screen_guard,319,0.474,2
product_93,seller_16,mobile,29595,0.611,2
product_94,seller_27,mobile_cover,1220,0.603,3
product_95,seller_12,mobile_cover,1044,0.202,1
product_96,seller_20,watch_strap,923,0.733,3
product_97,seller_11,laptop_bag,1022,0.754,2
product_98,seller_15,watch_strap,1767,0.779,2
product_99,seller_0,earphones,3596,0.577,5
product_100,seller_22,laptop_bag,1235,0.497,2
product_101,seller_13,keyboard,1676,0.627,1
product_102,seller_14,earphones,2361,0.797,6
product_103,seller_21,screen_guard,752,0.381,1
product_104,seller_4,smartwatch,21345,0.159,1
product_105,seller_15,watch_strap,1341,0.672,4
product_106,seller_4,screen_guard,256,0.438,3
product_107,seller_13,mouse,1747,0.836,3
product_108,seller_14,laptop,48740,0.327,2
product_109,seller_22,screen_guard,710,0.842,4
product_110,seller_21,laptop,62629,0.792,3
product_111,seller_10,tablet,27563,0.723,4
product_112,seller_13,keyboard,5173,0.344,1
product_113,seller_12,mobile,24524,0.614,1
product_114,seller_9,headphones,4842,0.544,1
product_115,seller_12,smartwatch,12785,0.482,1
product_116,seller_29,mobile,40007,0.587,4
product_117,seller_6,laptop,80669,0.749,2
product_118,seller_22,tablet,44100,0.649,2
product_119,seller_9,earphones,4476,0.601,4
product_120,seller_3,smartwatch,17360,0.359,1
product_121,seller_8,screen_guard,155,0.703,3
product_122,seller_19,laptop_bag,1008,0.663,4
product_123,seller_25,mobile_cover,850,0.585,2
product_124,seller_13,charger,2724,0.696,2
product_125,seller_10,laptop_bag,2277,0.374,0
product_126,seller_26,smartwatch,29645,0.402,1
product_127,seller_7,watch_strap,381,0.351,0
product_128,seller_8,mouse,1606,0.501,0
product_129,seller_1,stand,2214,0.763,4
product_130,seller_17,smartwatch,5240,0.543,1
product_131,seller_13,tablet,26810,0.46,4
product_132,seller_20,mouse,2172,0.528,3
product_133,seller_5,mobile,31509,0.695,2
product_134,seller_14,mouse,1790,0.663,4
product_135,seller_20,mobile,19144,0.572,1
product_136,seller_3,smartwatch,14497,0.842,3
product_137,seller_12,stand,2618,0.374,2
product_138,seller_17,screen_guard,452,0.594,4
product_139,seller_0,laptop_bag,1379,0.627,4
product_140,seller_6,laptop_bag,2490,0.822,0
product_141,seller_26,watch_strap,817,0.44,3
product_142,seller_24,screen_guard,712,0.677,3
product_143,seller_6,mobile_cover,1389,0.725,2
product_144,seller_9,mobile_cover,1468,0.493,5
product_145,seller_9,tablet,58284,0.331,2
product_146,seller_0,charger,1782,0.468,3
product_147,seller_11,screen_guard,287,0.683,3
product_148,seller_9,headphones,9478,0.549,2
product_149,seller_26,screen_guard,293,0.671,4
product_150,seller_16,screen_guard,796,0.35,2
product_151,seller_17,mobile,32079,0.637,3
product_152,seller_12,laptop_bag,1714,0.771,3
product_153,seller_16,laptop_bag,843,0.521,2
product_154,seller_24,charger,2605,0.362,1
product_155,seller_4,screen_guard,645,0.747,3
product_156,seller_6,tablet,53940,0.75,0
product_157,seller_3,laptop_bag,2935,0.495,1
product_158,seller_5,watch_strap,1071,0.616,3
product_159,seller_8,smartwatch,17331,0.525,0
product_160,seller_0,watch_strap,1327,0.602,3
product_161,seller_11,charger,2965,0.706,1
product_162,seller_3,keyboard,4744,0.628,3
product_163,seller_0,mouse,999,0.42,1
product_164,seller_28,mobile,24624,0.379,0
product_165,seller_18,watch_strap,1605,0.276,2
product_166,seller_6,mobile_cover,1119,0.628,2
product_167,seller_19,mouse,792,0.815,3
product_168,seller_5,laptop,87460,0.657,3
product_169,seller_12,mouse,770,0.312,2
product_170,seller_26,mouse,806,0.557,4
product_171,seller_17,headphones,9746,0.577,1
product_172,seller_21,headphones,8569,0.813,2
product_173,seller_25,earphones,4749,0.738,5
product_174,seller_26,headphones,10939,0.617,6
product_175,seller_2,screen_guard,440,0.57,1
product_176,seller_20,mouse,920,0.754,4
product_177,seller_18,tablet,36622,0.436,1
product_178,seller_12,tablet,33349,0.522,1
product_179,seller_15,smartwatch,13315,0.806,2
product_180,seller_23,mobile_cover,670,0.669,1
product_181,seller_25,mouse,1193,0.636,2
product_182,seller_20,mouse,510,0.705,2
product_183,seller_2,mobile_cover,738,0.74,2
product_184,seller_19,mouse,1843,0.717,6
product_185,seller_5,screen_guard,656,0.508,2
product_186,seller_6,laptop,42202,0.588,1
product_187,seller_1,tablet,43575,0.248,0
product_188,seller_12,mouse,1700,0.757,6
product_189,seller_29,smartwatch,24101,0.566,1
product_190,seller_14,earphones,4109,0.742,5
product_191,seller_16,mobile_cover,802,0.477,1
product_192,seller_26,smartwatch,23838,0.488,1
product_193,seller_24,earphones,3582,0.787,3
product_194,seller_21,earphones,2683,0.847,7
product_195,seller_26,keyboard,2957,0.55,4
product_196,seller_17,mobile_cover,565,0.658,1
product_197,seller_8,screen_guard,361,0.254,0
product_198,seller_3,headphones,3464,0.486,1
product_199,seller_27,mobile,46607,0.467,4
product_200,seller_27,watch_strap,862,0.687,2
product_201,seller_16,mobile,42733,0.548,2
product_202,seller_24,tablet,31455,0.477,0
product_203,seller_0,mobile,28811,0.59,2
product_204,seller_17,charger,1576,0.524,4
product_205,seller_13,stand,1862,0.746,6
product_206,seller_5,stand,3340,0.487,1
product_207,seller_25,laptop,55453,0.788,5
product_208,seller_4,keyboard,4674,0.455,3
product_209,seller_10,keyboard,4786,0.725,9
product_210,seller_5,keyboard,1291,0.467,3
product_211,seller_17,laptop_bag,1855,0.529,1
product_212,seller_6,watch_strap,1481,0.755,3
product_213,seller_10,laptop_bag,2890,0.73,5
product_214,seller_27,charger,1186,0.584,0
product_215,seller_27,mouse,2357,0.464,2
product_216,seller_22,laptop,57529,0.35,0
product_217,seller_23,laptop_bag,2933,0.34,1
product_218,seller_22,keyboard,1455,0.587,0
product_219,seller_17,stand,1220,0.325,1
product_220,seller_29,tablet,45548,0.56,1
product_221,seller_16,charger,1198,0.419,4
product_222,seller_29,smartwatch,13926,0.484,0
product_223,seller_20,keyboard,5420,0.628,4
product_224,seller_17,stand,1930,0.739,2
product_225,seller_0,laptop,40006,0.704,1
product_226,seller_0,smartwatch,27536,0.796,3
product_227,seller_25,mouse,1099,0.6,2
product_228,seller_13,smartwatch,17935,0.39,1
product_229,seller_8,earphones,1448,0.363,0
product_230,seller_22,headphones,5954,0.627,7
product_231,seller_2,screen_guard,336,0.592,5
product_232,seller_19,keyboard,4830,0.664,7
product_233,seller_4,laptop,86871,0.629,1
product_234,seller_25,headphones,9665,0.504,1
product_235,seller_8,mobile,40717,0.433,1
product_236,seller_12,screen_guard,162,0.516,2
product_237,seller_7,stand,1137,0.695,3
product_238,seller_15,earphones,3987,0.755,5
product_239,seller_23,mobile,49139,0.44,1
product_240,seller_27,mobile,29272,0.352,0
product_241,seller_25,mouse,997,0.661,2
product_242,seller_7,mobile_cover,522,0.607,1
product_243,seller_20,headphones,2483,0.204,0
product_244,seller_15,charger,1453,0.479,2
product_245,seller_23,stand,1790,0.278,2
product_246,seller_15,mobile,43672,0.55,1
product_247,seller_11,smartwatch,15606,0.445,0
product_248,seller_5,smartwatch,7256,0.47,2
product_249,seller_0,stand,3613,0.397,2
product_250,seller_24,laptop_bag,1778,0.645,2
product_251,seller_17,headphones,4025,0.622,3
product_252,seller_21,smartwatch,7184,0.357,0
product_253,seller_15,mobile_cover,592,0.367,3
product_254,seller_19,smartwatch,27980,0.649,0
product_255,seller_29,mobile,28679,0.47,1
product_256,seller_1,tablet,43653,0.599,1
product_257,seller_1,keyboard,5853,0.697,2
product_258,seller_16,earphones,1595,0.543,4
product_259,seller_7,tablet,57357,0.537,2
product_260,seller_24,mobile_cover,1380,0.434,1
product_261,seller_25,charger,1238,0.6,3
product_262,seller_14,watch_strap,1021,0.495,3
product_263,seller_18,earphones,2552,0.505,3
product_264,seller_14,stand,2626,0.666,2
product_265,seller_9,mobile,29541,0.279,0
product_266,seller_8,screen_guard,716,0.573,3
product_267,seller_11,stand,1639,0.4,2
product_268,seller_9,headphones,3005,0.644,0
product_269,seller_25,laptop_bag,2776,0.29,0
product_270,seller_19,mobile_cover,815,0.601,7
product_271,seller_10,headphones,7200,0.548,2
product_272,seller_24,tablet,45066,0.311,0
product_273,seller_16,laptop_bag,1704,0.462,4
product_274,seller_7,mobile_cover,1084,0.723,4
product_275,seller_23,watch_strap,400,0.639,2
product_276,seller_4,keyboard,1904,0.574,1
product_277,seller_19,smartwatch,29106,0.666,2
product_278,seller_29,tablet,57749,0.508,4
product_279,seller_11,laptop_bag,899,0.838,7
product_280,seller_14,headphones,11710,0.482,2
product_281,seller_2,screen_guard,265,0.552,0
product_282,seller_26,screen_guard,444,0.353,1
product_283,seller_10,mobile,28697,0.62,1
product_284,seller_15,smartwatch,25415,0.598,1
product_285,seller_8,mobile,26162,0.322,2
product_286,seller_20,stand,1034,0.344,2
product_287,seller_27,laptop_bag,1241,0.354,3
product_288,seller_16,mouse,2500,0.589,0
product_289,seller_5,mobile_cover,607,0.643,1
product_290,seller_15,laptop_bag,2411,0.7,2
product_291,seller_8,smartwatch,7031,0.355,0
product_292,seller_17,mobile,33362,0.475,1
product_293,seller_12,keyboard,5065,0.77,5
product_294,seller_29,laptop,79673,0.63,2
product_295,seller_21,smartwatch,11629,0.808,3
product_296,seller_4,headphones,10754,0.7,0
product_297,seller_23,charger,620,0.738,3
product_298,seller_23,stand,3608,0.472,3
product_299,seller_19,watch_strap,772,0.438,1
product_300,seller_11,tablet,32057,0.834,2
product_301,seller_13,mobile,15983,0.825,1
product_302,seller_24,earphones,2475,0.514,4
product_303,seller_28,stand,2010,0.476,1
product_304,seller_10,keyboard,4028,0.55,1
product_305,seller_25,keyboard,1115,0.679,4
product_306,seller_12,smartwatch,21912,0.753,1
product_307,seller_24,laptop,58737,0.484,1
product_308,seller_28,smartwatch,9660,0.777,3
product_309,seller_24,charger,2897,0.579,5
product_310,seller_28,watch_strap,1759,0.859,1
product_311,seller_29,tablet,30747,0.756,0
product_312,seller_2,laptop_bag,2945,0.813,4
product_313,seller_24,mobile,26199,0.576,2
product_314,seller_23,laptop,69245,0.454,4
product_315,seller_19,mobile,31587,0.285,2
product_316,seller_28,watch_strap,1310,0.548,3
product_317,seller_19,mobile_cover,1429,0.406,4
product_318,seller_26,screen_guard,362,0.355,2
product_319,seller_1,screen_guard,741,0.766,3
product_320,seller_9,tablet,58991,0.628,2
product_321,seller_9,headphones,6789,0.747,2
product_322,seller_2,smartwatch,14595,0.57,1
product_323,seller_19,earphones,1276,0.491,4
product_324,seller_23,stand,3820,0.457,0
product_325,seller_10,screen_guard,415,0.649,2
product_326,seller_15,watch_strap,1364,0.527,2
product_327,seller_22,earphones,3179,0.568,5
product_328,seller_19,headphones,8293,0.516,2
product_329,seller_20,mobile,28185,0.785,0
product_330,seller_10,smartwatch,5200,0.522,3
product_331,seller_26,mobile,26510,0.378,0
product_332,seller_15,charger,1136,0.612,2
product_333,seller_26,headphones,8282,0.578,3
product_334,seller_6,mobile,36739,0.711,1
product_335,seller_26,laptop,42042,0.581,3
product_336,seller_12,watch_strap,683,0.473,1
product_337,seller_22,laptop_bag,929,0.405,2
product_338,seller_9,smartwatch,10734,0.284,1
product_339,seller_16,stand,1102,0.827,3
product_340,seller_23,stand,3144,0.847,6
product_341,seller_16,screen_guard,268,0.363,4
product_342,seller_10,mobile_cover,1156,0.88,1
product_343,seller_28,tablet,33752,0.604,2
product_344,seller_21,stand,1481,0.737,4
product_345,seller_16,smartwatch,8354,0.445,0
product_346,seller_25,keyboard,3120,0.778,6
product_347,seller_14,smartwatch,6662,0.457,3
product_348,seller_2,mobile,42948,0.333,1
product_349,seller_22,keyboard,4452,0.54,3
product_350,seller_25,tablet,54962,0.321,2
product_351,seller_26,mobile_cover,1159,0.675,9
product_352,seller_7,stand,1916,0.57,3
product_353,seller_22,charger,1853,0.761,4
product_354,seller_3,stand,2439,0.613,1
product_355,seller_4,watch_strap,1340,0.422,5
product_356,seller_2,tablet,39799,0.632,2
product_357,seller_5,smartwatch,20806,0.425,2
product_358,seller_13,headphones,10793,0.834,5
product_359,seller_23,mobile_cover,1375,0.74,1
product_360,seller_12,laptop,44561,0.624,3
product_361,seller_15,laptop_bag,1051,0.287,2
product_362,seller_25,tablet,20012,0.623,0
product_363,seller_18,watch_strap,1215,0.533,2
product_364,seller_9,tablet,48490,0.644,3
product_365,seller_4,screen_guard,451,0.296,1
product_366,seller_27,mobile_cover,777,0.715,2
product_367,seller_13,mouse,1616,0.628,2
product_368,seller_29,screen_guard,518,0.839,6
product_369,seller_21,stand,2788,0.343,2
product_370,seller_19,keyboard,4287,0.647,2
product_371,seller_11,mouse,962,0.391,1
product_372,seller_22,earphones,4910,0.48,2
product_373,seller_18,mobile,46671,0.687,3
product_374,seller_23,charger,2656,0.841,2
product_375,seller_7,mobile_cover,1167,0.567,2
product_376,seller_25,smartwatch,23993,0.581,2
product_377,seller_14,stand,3099,0.695,3
product_378,seller_23,watch_strap,922,0.856,3
product_379,seller_18,charger,711,0.676,3
product_380,seller_27,mobile_cover,769,0.613,3
product_381,seller_3,keyboard,5746,0.656,4
product_382,seller_5,headphones,5780,0.76,1
product_383,seller_10,mobile,20531,0.698,4
product_384,seller_7,mouse,1853,0.637,1
product_385,seller_1,laptop_bag,1882,0.809,3
product_386,seller_15,laptop,88899,0.86,3
product_387,seller_15,mouse,1037,0.824,4
product_388,seller_12,stand,3779,0.505,2
product_389,seller_13,screen_guard,775,0.787,1
product_390,seller_8,mobile_cover,1396,0.409,1
product_391,seller_24,watch_strap,699,0.761,1
product_392,seller_3,smartwatch,27462,0.634,2
product_393,seller_19,mobile,21025,0.36,2
product_394,seller_2,mobile_cover,1438,0.242,1
product_395,seller_28,charger,954,0.66,2
product_396,seller_14,tablet,38113,0.593,1
product_397,seller_5,laptop,44849,0.599,3
product_398,seller_26,laptop,57345,0.398,0
product_399,seller_4,mobile_cover,1307,0.644,3
product_400,seller_8,keyboard,1646,0.879,1
product_401,seller_20,tablet,20056,0.514,2
product_402,seller_15,stand,2786,0.659,3
product_403,seller_26,keyboard,4749,0.538,3
product_404,seller_2,tablet,43943,0.726,0
product_405,seller_9,headphones,4827,0.578,4
product_406,seller_12,keyboard,1674,0.798,2
product_407,seller_6,keyboard,1946,0.678,6
product_408,seller_25,screen_guard,610,0.448,2
product_409,seller_25,earphones,4554,0.81,5
product_410,seller_29,earphones,1390,0.329,2
product_411,seller_1,watch_strap,797,0.812,4
product_412,seller_26,laptop,46376,0.449,0
product_413,seller_3,mobile_cover,1218,0.778,1
product_414,seller_25,laptop_bag,2446,0.403,0
product_415,seller_25,screen_guard,368,0.7,1
product_416,seller_24,charger,2200,0.502,0
product_417,seller_1,watch_strap,573,0.327,1
product_418,seller_28,mobile,46913,0.459,0
product_419,seller_22,stand,1519,0.483,2
